iso_3166_2,iso_a2,name_ar,name_en
OM-BJ,OM,محافظة جنوب الباطنة,Al Batinah South Governorate
OM-BS,OM,محافظة شمال الباطنة,Al Batinah North Governorate
OM-BU,OM,محافظة البريمي,Al Buraimi Governorate
OM-DA,OM,محافظة الداخلية,Ad Dakhiliyah Governorate
OM-MA,OM,محافظة مسقط,Muscat Governorate
OM-MU,OM,محافظة مسندم,Musandam Governorate
OM-SJ,OM,المنطقة الشرقية,Ash Sharqiyah Region
OM-SS,OM,محافظة شمال الشرقية,Ash Sharqiyah North Governorate
OM-WU,OM,محافظة الوسطى,Al Wusta Governorate
OM-ZA,OM,محافظة الظاهرة,Ad Dhahirah Governorate
OM-ZU,OM,محافظة ظفار,Dhofar Governorate
