in_region_iso,out_region_name,out_region_iso2,out_country_name,out_country_iso2,out_country_iso3,keep
TW-TAO,Taiwan Sheng,CN-TW,China,CN,CHN,true
TW-HSQ,Taiwan Sheng,CN-TW,China,CN,CHN,true
TW-HSZ,Taiwan Sheng,CN-TW,China,CN,CHN,true
TW-MIA,Taiwan Sheng,CN-TW,China,CN,CHN,true
TW-TXG,Taiwan Sheng,CN-TW,China,CN,CHN,true
TW-CHA,Taiwan Sheng,CN-TW,China,CN,CHN,true
TW-YUN,Taiwan Sheng,CN-TW,China,CN,CHN,true
TW-CYQ,Taiwan Sheng,CN-TW,China,CN,CHN,true
TW-TNN,Taiwan Sheng,CN-TW,China,CN,CHN,true
TW-KHH,Taiwan Sheng,CN-TW,China,CN,CHN,true
TW-PIF,Taiwan Sheng,CN-TW,China,CN,CHN,true
TW-TTT,Taiwan Sheng,CN-TW,China,CN,CHN,true
TW-HUA,Taiwan Sheng,CN-TW,China,CN,CHN,true
TW-ILA,Taiwan Sheng,CN-TW,China,CN,CHN,true
TW-NWT,Taiwan Sheng,CN-TW,China,CN,CHN,true
TW-KEE,Taiwan Sheng,CN-TW,China,CN,CHN,true
TW-KIN,Taiwan Sheng,CN-TW,China,CN,CHN,true
TW-PEN,Taiwan Sheng,CN-TW,China,CN,CHN,true
TW-LIE,Taiwan Sheng,CN-TW,China,CN,CHN,true
TW-NAN,Taiwan Sheng,CN-TW,China,CN,CHN,true
TW-TPE,Taiwan Sheng,CN-TW,China,CN,CHN,true
TW-CYI,Taiwan Sheng,CN-TW,China,CN,CHN,true
FI-01,Åland Islands,AX-01,Åland Islands,AX,ALA,false
BQ-BO,Bonaire,NL-BQ1,"Bonaire, Sint Eustatius and Saba",BQ,BES,false
BQ-SA,Saba,NL-BQ2,"Bonaire, Sint Eustatius and Saba",BQ,BES,false
BQ-SE,Sint Eustatius,NL-BQ3,"Bonaire, Sint Eustatius and Saba",BQ,BES,false
NL-SX,Sint Maarten,SX-SX,"Sint Maarten",SX,SXM,false
NO-X01~,Bouvet Island,BV,Bouvet Island,BV,BVT,false
-99-X15~,Cocos (Keeling) Islands,-99-X15~,Cocos (Keeling) Islands,CC,CCK,false
-99-X14~,Christmas Island,-99-X14~,Christmas Island,CX,CXR,false
FR-GF,French Guiana,GF-GF,French Guiana,GF,GUF,false
FR-GP,Guadeloupe,GP-GP,Guadeloupe,GP,GLP,false
FR-MQ,Martinique,MQ-MQ,Martinique,MQ,MQT,false
FR-RE,Réunion,RE-RE,Réunion,RE,REU,false
FR-YT,Mayotte,YT-YT,Mayotte,YT,MYT,false
NO-21,Svalbard,SJ-21,Svalbard and Jan Mayen,SJ,SJM,false
NO-22,Jan Mayen,SJ-22,Svalbard and Jan Mayen,SJ,SJM,false
